"","Attrition","BusinessTravel","Department","EducationField","Gender","JobRole","OverTime","MaritalStatus","Age","DailyRate","DistanceFromHome","Education","EmployeeNumber","EnvironmentSatisfaction","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"15","Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Yes","Single",28,103,24,3,19,3,50,2,1,3,2028,12947,5,14,3,2,0,6,4,3,4,2,0,3
"16","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","No","Divorced",29,1389,21,4,20,2,51,4,3,1,9980,10195,1,11,3,3,1,10,1,3,10,9,8,8
"17","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Yes","Divorced",32,334,5,2,21,1,80,4,1,2,3298,15053,0,12,3,4,2,7,5,2,6,2,0,5
"18","No","Non-Travel","Research & Development","Medical","Male","Laboratory Technician","Yes","Divorced",22,1123,16,2,22,4,96,4,1,4,2935,7324,1,13,3,2,2,1,2,2,1,0,0,0
"19","No","Travel_Rarely","Sales","Life Sciences","Female","Manager","No","Married",53,1219,2,4,23,1,78,2,4,4,15427,22021,2,16,3,3,0,31,3,3,25,8,3,7
"20","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","Yes","Single",38,371,2,3,24,4,45,3,1,4,3944,4306,5,11,3,3,0,6,3,3,3,2,1,2
"21","No","Non-Travel","Research & Development","Other","Female","Manufacturing Director","No","Divorced",24,673,11,2,26,1,96,4,2,3,4011,8232,0,18,3,4,1,5,5,2,4,2,1,3
"22","Yes","Travel_Rarely","Sales","Life Sciences","Male","Sales Representative","No","Single",36,1218,9,4,27,3,82,2,1,1,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3
"23","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Director","No","Single",34,419,7,4,28,1,53,3,3,2,11994,21293,0,11,3,3,0,13,4,3,12,6,2,11
"24","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Single",21,391,15,2,30,3,96,3,1,4,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0
"25","Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Single",34,699,6,1,31,2,83,3,1,1,2960,17102,2,11,3,3,0,8,2,3,4,2,1,3
"26","No","Travel_Rarely","Research & Development","Other","Female","Manager","No","Divorced",53,1282,5,3,32,3,58,3,5,3,19094,10735,4,11,3,4,1,26,3,2,14,13,4,8
"27","Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Research Scientist","Yes","Single",32,1125,16,1,33,2,72,1,1,1,3919,4681,1,22,4,2,0,10,5,3,10,2,6,7
"28","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Married",42,691,8,4,35,3,48,3,2,2,6825,21173,0,11,3,4,1,10,2,3,9,7,4,2
"29","No","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","No","Married",44,477,7,4,36,1,42,2,3,4,10248,2094,3,14,3,4,1,24,4,3,22,6,5,17
"30","No","Travel_Rarely","Sales","Marketing","Female","Manager","No","Single",46,705,2,4,38,2,83,3,5,1,18947,22822,3,12,3,4,0,22,2,2,2,2,2,1
"31","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Single",33,924,2,3,39,3,78,3,1,4,2496,6670,4,11,3,4,0,7,3,3,1,1,0,0
"32","No","Travel_Rarely","Research & Development","Other","Male","Healthcare Representative","Yes","Married",44,1459,10,4,40,4,41,3,2,4,6465,19121,2,13,3,4,0,9,5,4,4,2,1,3
"33","No","Travel_Rarely","Research & Development","Medical","Male","Laboratory Technician","No","Single",30,125,9,2,41,4,83,2,1,3,2206,16117,1,13,3,1,0,10,5,3,10,0,1,8
"34","Yes","Travel_Rarely","Sales","Technical Degree","Male","Sales Representative","No","Married",39,895,5,3,42,4,56,3,2,4,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0
"35","Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Yes","Married",24,813,1,3,45,2,61,3,1,4,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0
"36","No","Travel_Rarely","Research & Development","Medical","Female","Research Scientist","No","Divorced",43,1273,2,2,46,4,72,4,1,3,2645,21923,1,12,3,4,2,6,3,2,5,3,1,4
"37","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Yes","Married",50,869,3,2,47,1,86,2,1,3,2683,3810,1,14,3,3,0,3,2,3,3,2,0,2
"38","No","Travel_Rarely","Sales","Marketing","Female","Sales Representative","No","Married",35,890,2,3,49,4,97,3,1,4,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2
"39","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Yes","Married",36,852,5,4,51,2,82,2,1,1,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0
"40","No","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","No","Married",33,1141,1,3,52,3,42,4,2,1,5376,3193,2,19,3,1,2,10,3,3,5,3,1,3
"41","No","Travel_Rarely","Research & Development","Other","Male","Laboratory Technician","No","Divorced",35,464,4,2,53,3,75,3,1,4,1951,10910,1,12,3,3,1,1,3,3,1,0,0,0
"42","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","No","Divorced",27,1240,2,4,54,4,33,3,1,1,2341,19715,1,13,3,4,1,1,6,3,1,0,0,0
"43","Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Single",26,1357,25,3,55,1,48,1,1,3,2293,10558,1,12,3,3,0,1,2,2,1,0,0,1
"44","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","No","Single",27,994,8,3,56,4,37,3,3,3,8726,2975,1,15,3,4,0,9,0,3,9,8,1,7
"45","No","Travel_Frequently","Research & Development","Medical","Female","Laboratory Technician","No","Single",30,721,1,2,57,3,58,3,2,4,4011,10781,1,23,4,4,0,12,2,3,12,8,3,7
"46","Yes","Travel_Rarely","Research & Development","Technical Degree","Female","Research Director","No","Married",41,1360,12,3,58,2,49,3,5,3,19545,16280,1,12,3,4,0,23,0,3,22,15,15,8
"47","No","Non-Travel","Sales","Marketing","Male","Sales Executive","No","Single",34,1065,23,4,60,2,72,3,2,3,4568,10034,0,20,4,3,0,10,2,3,9,5,8,7
"48","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Married",37,408,19,2,61,2,73,3,1,2,3022,10227,4,21,4,1,0,8,1,3,1,0,0,0
"49","No","Travel_Frequently","Sales","Marketing","Male","Sales Executive","Yes","Single",46,1211,5,4,62,1,98,3,2,4,5772,20445,4,21,4,3,0,14,4,3,9,6,0,8
"50","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Married",35,1229,8,1,63,4,36,4,1,4,2269,4892,1,19,3,4,0,1,2,3,1,0,0,1
"51","Yes","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Yes","Single",48,626,1,2,64,1,98,2,3,3,5381,19294,9,13,3,4,0,23,2,3,1,0,0,0
"52","Yes","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","Yes","Single",28,1434,5,4,65,3,50,3,1,3,3441,11179,1,13,3,3,0,2,3,2,2,2,2,2
"53","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Yes","Divorced",44,1488,1,5,68,2,75,3,2,1,5454,4009,5,21,4,3,1,9,2,2,4,3,1,3
"54","No","Non-Travel","Research & Development","Medical","Male","Healthcare Representative","Yes","Married",35,1097,11,2,70,3,79,2,3,1,9884,8302,2,13,3,3,1,10,3,3,4,0,2,3
"55","No","Travel_Rarely","Sales","Marketing","Female","Sales Executive","Yes","Married",26,1443,23,3,72,3,47,2,2,4,4157,21436,7,19,3,3,1,5,2,2,2,2,0,0
"56","No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Director","Yes","Single",33,515,1,2,73,1,98,3,3,4,13458,15146,1,12,3,3,0,15,1,3,15,14,8,12
"57","No","Travel_Frequently","Sales","Life Sciences","Male","Sales Executive","No","Married",35,853,18,5,74,2,71,3,3,1,9069,11031,1,22,4,4,1,9,3,2,9,8,1,8
"58","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","Yes","Married",35,1142,23,4,75,3,30,3,1,1,4014,16002,3,15,3,3,1,4,3,3,2,2,2,2
"59","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Divorced",31,655,7,4,76,4,48,3,2,4,5915,9528,3,22,4,4,1,10,3,2,7,7,1,7
"60","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","No","Divorced",37,1115,1,4,77,1,51,2,2,3,5993,2689,1,18,3,3,1,7,2,4,7,5,0,7
"61","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","Yes","Married",32,427,1,3,78,1,33,3,2,4,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8
"62","No","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","No","Single",38,653,29,5,79,4,50,3,2,4,2406,5456,1,11,3,4,0,10,2,3,10,3,9,9
"63","No","Travel_Rarely","Research & Development","Medical","Female","Research Director","Yes","Divorced",50,989,7,2,80,2,43,2,5,3,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8
"64","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","No","Single",59,1435,25,3,81,1,99,3,3,1,7637,2354,7,11,3,4,0,28,3,2,21,16,7,9
"65","No","Travel_Rarely","Research & Development","Technical Degree","Female","Healthcare Representative","No","Divorced",36,1223,8,3,83,3,59,3,3,3,10096,8202,1,13,3,2,3,17,2,3,17,14,12,8
"66","No","Travel_Rarely","Research & Development","Medical","Female","Manager","Yes","Divorced",55,836,8,3,84,4,33,3,4,3,14756,19730,2,14,3,3,3,21,2,3,5,0,0,2
"67","No","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","No","Single",36,1195,11,3,85,2,95,2,2,2,6499,22656,1,13,3,3,0,6,3,3,6,5,0,3
"68","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Divorced",45,1339,7,3,86,2,59,3,3,1,9724,18787,2,17,3,3,1,25,2,3,1,0,0,0
"69","No","Travel_Frequently","Research & Development","Medical","Male","Research Scientist","No","Married",35,664,1,3,88,2,79,3,1,1,2194,5868,4,13,3,4,1,5,2,2,3,2,1,2
"70","Yes","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","Yes","Married",36,318,9,3,90,4,79,2,1,3,3388,21777,0,17,3,1,1,2,0,2,1,0,0,0
"71","No","Travel_Frequently","Sales","Life Sciences","Female","Sales Executive","No","Single",59,1225,1,1,91,1,57,2,2,3,5473,24668,7,11,3,4,0,20,2,2,4,3,1,3
"72","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Married",29,1328,2,3,94,3,76,3,1,2,2703,4956,0,23,4,4,1,6,3,3,5,4,0,4
"73","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Single",31,1082,1,4,95,3,87,3,1,2,2501,18775,1,17,3,2,0,1,4,3,1,1,1,0
"74","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Married",32,548,1,3,96,2,66,3,2,2,6220,7346,1,17,3,2,2,10,3,3,10,4,0,9
"75","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","No","Married",36,132,6,3,97,2,55,4,1,4,3038,22002,3,12,3,2,0,5,3,3,1,0,0,0
"76","No","Travel_Rarely","Research & Development","Life Sciences","Female","Manufacturing Director","No","Single",31,746,8,4,98,3,61,3,2,4,4424,20682,1,23,4,4,0,11,2,3,11,7,1,8
"77","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","No","Single",35,776,1,4,100,3,32,2,2,1,4312,23016,0,14,3,2,0,16,2,3,15,13,2,8
"78","No","Travel_Rarely","Research & Development","Other","Male","Research Director","Yes","Married",45,193,6,4,101,4,52,3,3,1,13245,15067,4,14,3,2,0,17,3,4,0,0,0,0
"79","No","Travel_Rarely","Research & Development","Medical","Male","Research Director","No","Single",37,397,7,4,102,1,30,3,3,3,13664,25258,4,13,3,1,0,16,3,4,5,2,0,2
"80","No","Travel_Rarely","Human Resources","Medical","Male","Human Resources","Yes","Divorced",46,945,5,2,103,2,80,3,2,2,5021,10425,8,22,4,4,1,16,2,3,4,2,0,2
"81","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","Yes","Married",30,852,1,1,104,4,55,2,2,4,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0
"82","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Single",35,1214,1,3,105,2,30,2,1,3,2859,26278,1,18,3,1,0,6,3,3,6,4,0,4
"83","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","No","Married",55,111,1,2,106,1,70,3,3,4,10239,18092,3,14,3,4,1,24,4,3,1,0,1,0
"84","No","Non-Travel","Research & Development","Medical","Female","Research Scientist","Yes","Divorced",38,573,6,3,107,2,79,1,2,4,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9
"85","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","No","Married",34,1153,1,2,110,1,94,3,2,2,4325,17736,1,15,3,3,0,5,2,3,5,2,1,3
"86","No","Travel_Rarely","Research & Development","Life Sciences","Male","Manufacturing Director","No","Single",56,1400,7,3,112,4,49,1,3,4,7260,21698,4,11,3,1,0,37,3,2,6,4,0,2
"87","No","Travel_Rarely","Sales","Technical Degree","Male","Sales Representative","No","Divorced",23,541,2,1,113,3,62,3,1,1,2322,9518,3,13,3,3,1,3,3,3,0,0,0,0
"88","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Married",51,432,9,4,116,4,96,3,1,4,2075,18725,3,23,4,2,2,10,4,3,4,2,0,3
"89","No","Travel_Rarely","Research & Development","Life Sciences","Male","Healthcare Representative","No","Married",30,288,2,3,117,3,99,2,2,4,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8
"90","Yes","Travel_Rarely","Sales","Medical","Male","Sales Executive","No","Single",46,669,9,2,118,3,64,2,3,4,9619,13596,1,16,3,4,0,9,3,3,9,8,4,7
"91","No","Travel_Frequently","Research & Development","Life Sciences","Male","Healthcare Representative","No","Married",40,530,1,4,119,3,78,2,4,2,13503,14115,1,22,4,4,1,22,3,2,22,3,11,11
"92","No","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Yes","Single",51,632,21,4,120,3,71,3,2,4,5441,8423,0,22,4,4,0,11,2,1,10,7,1,0
"93","No","Travel_Rarely","Sales","Medical","Female","Sales Executive","Yes","Divorced",30,1334,4,2,121,3,63,2,2,2,5209,19760,1,12,3,2,3,11,4,2,11,8,2,7
"94","No","Travel_Frequently","Research & Development","Medical","Male","Healthcare Representative","Yes","Married",46,638,1,3,124,3,40,2,3,1,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5
"95","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","No","Single",32,1093,6,4,125,2,87,3,2,3,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7
"96","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Director","No","Married",54,1217,2,4,126,1,60,3,3,3,13549,24001,9,12,3,1,1,16,5,1,4,3,0,3
"97","No","Travel_Rarely","Sales","Other","Female","Sales Executive","No","Married",24,1353,3,2,128,1,33,3,2,3,4999,17519,0,21,4,1,1,4,2,2,3,2,0,2
"98","No","Non-Travel","Sales","Medical","Male","Sales Executive","No","Married",28,120,4,3,129,2,43,3,2,3,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4
"99","No","Travel_Rarely","Sales","Medical","Male","Sales Executive","No","Single",58,682,10,4,131,4,37,3,4,3,13872,24409,0,13,3,3,0,38,1,2,37,10,1,8
"100","No","Non-Travel","Research & Development","Medical","Male","Laboratory Technician","No","Married",44,489,23,3,132,2,67,3,2,2,2042,25043,4,12,3,3,1,17,3,4,3,2,1,2
"101","Yes","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Yes","Divorced",37,807,6,4,133,3,63,3,1,1,2073,23648,4,22,4,4,0,7,3,3,3,2,0,2
"102","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Scientist","No","Single",32,827,1,1,134,4,71,3,1,1,2956,15178,1,13,3,4,0,1,2,3,1,0,0,0
"103","Yes","Travel_Frequently","Research & Development","Life Sciences","Female","Laboratory Technician","Yes","Single",20,871,6,3,137,4,66,2,1,4,2926,19783,1,18,3,2,0,1,5,3,1,0,1,0
"104","No","Travel_Rarely","Research & Development","Other","Female","Research Scientist","No","Single",34,665,6,4,138,1,41,3,2,3,4809,12482,1,14,3,3,0,16,3,3,16,13,2,10
"105","No","Non-Travel","Research & Development","Life Sciences","Male","Healthcare Representative","No","Divorced",37,1040,2,2,139,3,100,2,2,4,5163,15850,5,14,3,4,1,17,2,4,1,0,0,0
"106","No","Non-Travel","Human Resources","Human Resources","Female","Manager","No","Married",59,1420,2,4,140,3,32,2,5,4,18844,21922,9,21,4,4,1,30,3,3,3,2,2,2
"107","No","Travel_Frequently","Research & Development","Life Sciences","Female","Research Director","Yes","Married",50,1115,1,3,141,1,73,3,5,2,18172,9755,3,19,3,1,0,28,1,2,8,3,0,7
"108","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Executive","Yes","Single",25,240,5,3,142,3,46,2,2,3,5744,26959,1,11,3,4,0,6,1,3,6,4,0,3
"109","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Married",25,1280,7,1,143,4,64,2,1,4,2889,26897,1,11,3,3,2,2,2,3,2,2,2,1
"110","No","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","No","Single",22,534,15,3,144,2,59,3,1,4,2871,23785,1,15,3,3,0,1,5,3,0,0,0,0
"111","No","Travel_Frequently","Research & Development","Medical","Female","Healthcare Representative","No","Single",51,1456,1,4,145,1,30,2,3,1,7484,25796,3,20,4,3,0,23,1,2,13,12,12,8
"112","Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Laboratory Technician","Yes","Single",34,658,7,3,147,1,66,1,2,3,6074,22887,1,24,4,4,0,9,3,3,9,7,0,6
"113","No","Non-Travel","Human Resources","Human Resources","Female","Manager","Yes","Single",54,142,26,3,148,4,30,4,4,4,17328,13871,2,12,3,3,0,23,3,3,5,3,4,4
"114","No","Travel_Rarely","Research & Development","Life Sciences","Male","Laboratory Technician","No","Married",24,1127,18,1,150,2,52,3,1,3,2774,13257,0,12,3,3,1,6,2,3,5,3,1,2
"115","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","No","Divorced",34,1031,6,4,151,3,45,2,2,2,4505,15000,6,15,3,3,1,12,3,3,1,0,0,0
"116","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","No","Single",37,1189,3,3,152,3,87,3,3,4,7428,14506,2,12,3,1,0,12,3,3,5,3,1,3
"117","No","Travel_Rarely","Research & Development","Medical","Female","Manager","No","Single",34,1354,5,3,153,3,45,2,3,1,11631,5615,2,12,3,4,0,14,6,3,11,10,5,8
"118","No","Travel_Frequently","Sales","Technical Degree","Female","Sales Executive","No","Married",36,1467,11,2,154,2,92,3,3,4,9738,22952,0,14,3,3,1,10,6,3,9,7,2,8
"119","No","Travel_Rarely","Research & Development","Life Sciences","Female","Laboratory Technician","No","Divorced",36,922,3,2,155,1,39,3,1,4,2835,2561,5,22,4,1,1,7,2,3,1,0,0,0
"120","No","Travel_Frequently","Sales","Life Sciences","Male","Manager","Yes","Married",43,394,26,2,158,3,92,3,4,4,16959,19494,1,12,3,4,2,25,3,4,25,12,4,12
"121","No","Travel_Frequently","Research & Development","Life Sciences","Male","Research Scientist","No","Divorced",30,1312,23,3,159,1,96,1,1,3,2613,22310,1,25,4,3,3,10,2,2,10,7,0,9
"122","No","Non-Travel","Sales","Marketing","Male","Sales Executive","No","Married",33,750,22,2,160,3,95,3,2,2,6146,15480,0,13,3,1,1,8,2,4,7,7,0,7
"123","Yes","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","Yes","Married",56,441,14,4,161,2,72,3,1,2,4963,4510,9,18,3,1,3,7,2,3,5,4,4,3
"124","No","Travel_Rarely","Research & Development","Life Sciences","Male","Research Director","No","Single",51,684,6,3,162,1,51,3,5,3,19537,6462,7,13,3,3,0,23,5,3,20,18,15,15
"125","Yes","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Yes","Married",31,249,6,4,163,2,76,1,2,3,6172,20739,4,18,3,2,0,12,3,2,7,7,7,7
"126","No","Travel_Rarely","Research & Development","Other","Female","Research Scientist","No","Married",26,841,6,3,164,3,46,2,1,2,2368,23300,1,19,3,3,0,5,3,2,5,4,4,3
"127","Yes","Travel_Rarely","Research & Development","Medical","Female","Healthcare Representative","No","Married",58,147,23,4,165,4,94,3,3,4,10312,3465,1,12,3,4,1,40,3,2,40,10,15,6
"128","Yes","Travel_Rarely","Sales","Marketing","Male","Sales Representative","Yes","Single",19,528,22,1,167,4,50,3,1,3,1675,26820,1,19,3,4,0,0,2,2,0,0,0,0
"129","No","Travel_Rarely","Research & Development","Technical Degree","Male","Laboratory Technician","No","Married",22,594,2,1,169,3,100,3,1,4,2523,19299,0,14,3,3,1,3,2,3,2,1,2,1
"130","No","Travel_Rarely","Research & Development","Medical","Female","Manufacturing Director","No","Married",49,470,20,4,170,3,96,3,2,1,6567,5549,1,14,3,3,0,16,2,2,15,11,5,11
"131","No","Travel_Frequently","Research & Development","Medical","Female","Research Scientist","No","Single",43,957,28,3,171,2,72,4,1,3,4739,16090,4,12,3,4,0,18,2,3,3,2,1,2
"132","No","Travel_Frequently","Sales","Marketing","Female","Sales Executive","No","Single",50,809,12,3,174,3,77,3,3,4,9208,6645,4,11,3,4,0,16,3,3,2,2,2,1
"133","Yes","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","Yes","Married",31,542,20,3,175,2,71,1,2,3,4559,24788,3,11,3,3,1,4,2,3,2,2,2,2
"134","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","Yes","Divorced",41,802,9,1,176,3,96,3,3,3,8189,21196,3,13,3,3,1,12,2,3,9,7,0,7
"135","No","Travel_Rarely","Human Resources","Life Sciences","Female","Human Resources","No","Married",26,1355,25,1,177,3,61,3,1,3,2942,8916,1,23,4,4,1,8,3,3,8,7,5,7
"136","No","Travel_Rarely","Research & Development","Medical","Male","Manufacturing Director","No","Divorced",36,216,6,2,178,2,84,3,2,2,4941,2819,6,20,4,4,2,7,0,3,3,2,0,1
"137","Yes","Travel_Frequently","Research & Development","Life Sciences","Male","Manufacturing Director","No","Single",51,1150,8,4,179,1,53,1,3,4,10650,25150,2,15,3,4,0,18,2,3,4,2,0,3
"138","No","Travel_Rarely","Sales","Life Sciences","Female","Sales Executive","No","Married",39,1329,4,4,182,4,47,2,2,3,5902,14590,4,14,3,3,1,17,1,4,15,11,5,9
"139","No","Travel_Rarely","Sales","Life Sciences","Male","Sales Executive","No","Married",25,959,28,3,183,1,41,2,2,3,8639,24835,2,18,3,4,0,6,3,3,2,2,2,2
"140","No","Travel_Rarely","Human Resources","Human Resources","Male","Human Resources","Yes","Married",30,1240,9,3,184,3,48,3,2,4,6347,13982,0,19,3,4,0,12,2,1,11,9,4,7
"141","Yes","Travel_Rarely","Research & Development","Medical","Female","Laboratory Technician","No","Single",32,1033,9,3,190,1,41,3,1,1,4200,10224,7,22,4,1,0,10,2,4,5,4,0,4
"142","No","Travel_Rarely","Research & Development","Medical","Male","Research Scientist","No","Single",45,1316,29,3,192,3,83,3,1,4,3452,9752,5,13,3,2,0,9,2,2,6,5,0,3
"143","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","Yes","Single",38,364,3,5,193,4,32,3,2,3,4317,2302,3,20,4,2,0,19,2,3,3,2,2,2
"144","No","Travel_Rarely","Research & Development","Life Sciences","Female","Research Scientist","No","Single",30,438,18,3,194,1,75,3,1,3,2632,23910,1,14,3,3,0,5,4,2,5,4,0,4
"145","No","Travel_Frequently","Sales","Medical","Male","Sales Executive","No","Divorced",32,689,9,2,195,4,35,1,2,4,4668,22812,0,17,3,4,3,9,2,4,8,7,0,7
"146","No","Travel_Rarely","Research & Development","Technical Degree","Female","Research Scientist","No","Divorced",30,201,5,3,197,4,84,3,1,1,3204,10415,5,14,3,4,1,8,3,3,3,2,2,2
